year,quarter,entity_type,entity_name,rank,type,count,amount,state
2023,3,pincode,560100,9,TOTAL,2147,2864673.0,
2023,3,pincode,411057,10,TOTAL,2098,2821693.0,
2023,4,state,Karnataka,1,TOTAL,156076,248056311.0,
2023,4,state,Maharashtra,2,TOTAL,136968,217657114.0,
2023,4,state,Tamil Nadu,3,TOTAL,104871,139433796.0,
2023,4,state,Uttar Pradesh,4,TOTAL,92125,165509877.0,
2023,4,state,Kerala,5,TOTAL,73543,121905046.0,
2023,4,state,West Bengal,6,TOTAL,72712,100365562.0,
2023,4,state,Telangana,7,TOTAL,63993,105605522.0,
2023,4,state,Delhi,8,TOTAL,56336,77332401.0,
2023,4,state,Rajasthan,9,TOTAL,49741,94701652.0,
2023,4,state,Haryana,10,TOTAL,47506,80747159.0,
2023,4,district,Bengaluru Urban,1,TOTAL,88349,133137089.0,
2023,4,district,Pune,2,TOTAL,30243,50492209.0,
2023,4,district,Thane,3,TOTAL,21339,28481783.0,
2023,4,district,Mumbai Suburban,4,TOTAL,18186,22723247.0,
2023,4,district,Chennai,5,TOTAL,18144,19953865.0,
2023,4,district,Rangareddy,6,TOTAL,16541,29175361.0,
2023,4,district,Jaipur,7,TOTAL,14759,25167653.0,
2023,4,district,Gurugram,8,TOTAL,14118,20950373.0,
2023,4,district,North Twenty Four Parganas,9,TOTAL,13483,19211808.0,
2023,4,district,Ernakulam,10,TOTAL,13336,21283249.0,
